Response,Stress label
"I have a presentation tomorrow, and I can't stop feeling anxious about it. My mind is racing with all the things that could go wrong.",Stress
"My partner is always criticizing me, and it's making me feel so tense and on edge all the time. I don't know how much more of this I can take",Stress
"I feel like I'm drowning in work. No matter how hard I try, I just can't seem to keep up. It's causing me so much stress and frustration",Stress
"I keep making mistakes at work, and it's making me doubt my abilities. I can't concentrate on anything because I'm constantly worried about messing up again",Stress
"I'm so overwhelmed with all my responsibilities. I feel like I'm on the verge of a breakdown, but I have no one to turn to for support",Stress
"Every day feels like a struggle. I'm so tired of pretending like everything's okay when inside, I'm falling apart. I just can't shake this feeling of loneliness and despair",Stress
"I'm in constant pain, both physically and emotionally. It's like I'm trapped in this never-ending cycle of suffering, and I don't know how to break free",Stress
"I can't seem to shake this feeling of sadness and hopelessness. No matter what I do, I can't find any joy or meaning in life anymore",Stress
"I'm so tired of feeling angry and irritable all the time. It's like I'm always on edge, ready to explode at the slightest provocation",Stress
I'm so stressed about money. I can't stop worrying about how I'm going to pay the bills or afford basic necessities. It feels like I'm drowning in debt with no way out,Stress
"I can't focus on anything lately. My mind feels so scattered, and I keep forgetting important things. It's like my memory is failing me when I need it the most",Stress
"I feel so isolated and alone. It's like no one understands what I'm going through, and I'm struggling to find anyone to talk to about my problems.",Stress
"Every day feels like a battle against my own thoughts. I can't stop the negative thinking, and it's consuming me from the inside out",Stress
"I've got this major project due tomorrow, and I'm so anxious about my viva. I know the material, but my mind's gone blank. It's like my brain is playing games with me, and I can't concentrate.",Stress
"I'm so overwhelmed with everything going on in my life. It's like I'm drowning in responsibilities, and I don't know how to keep my head above water",Stress
"Dealing with my boyfriend's overprotectiveness is so nerve-wracking. Every time I talk to someone else, even innocently, he gets angry and demands I stop. It's like living on eggshells, and I don't know how much longer I can endure this constant pressure.",Stress
"I feel like I'm constantly on the verge of tears. It's like my emotions are right at the surface, ready to spill over at any moment",Stress
I'm so tired of feeling angry all the time. It's like I have this constant knot of frustration in my chest that I can't shake,Stress
"I'm so exhausted, but I can't seem to sleep. My mind won't shut off, and I'm left lying awake for hours on end",Stress
"I feel like I'm suffocating under the weight of my own thoughts. It's like there's this constant pressure pressing down on me, and I can't escape it",Stress
"I can't seem to shake this feeling of worthlessness. No matter what I do, I never feel like I'm good enough",Stress
"I'm so stressed about work. It feels like I'm constantly under pressure to perform, and I can't relax for even a moment",Stress
"I'm so tired of feeling like this. It's like I'm trapped in this never-ending cycle of stress and anxiety, and I don't know how to break free",Stress
"I feel like I'm losing control of my life. It's like everything is spiraling out of control, and I don't know how to stop it",Stress
"All my friends are in great shape, and I'm constantly worried about my appearance. I feel like an outcast when we're together. Trying to lose weight feels like an endless battle, and I can't shake off this negative thinking about my own self-worth.",Stress
"I'm so tired of pretending like everything's okay when inside, I'm falling apart. I just wish someone would see through the facade and offer me some support",Stress
"I'm so overwhelmed with work. It feels like I'm drowning in deadlines, and I can't seem to catch a break",Stress
"I'm so tired of feeling like this. It's like no matter what I do, I can't escape this feeling of emptiness and despair",Stress
"I feel like I'm constantly teetering on the edge of a breakdown. It's like I'm holding on by a thread, and I'm scared that I'm going to lose my grip at any moment",Stress
"I'm so tired of feeling like I'm not good enough. It's like no matter what I do, I can't shake this feeling of inadequacy",Stress
"I'm so overwhelmed with everything going on in my life. It's like I'm juggling a million things at once, and I'm afraid that I'm going to drop the ball at any moment",Stress
"I have a major presentation tomorrow, and I'm so tense. The pressure to perform well is overwhelming, and I'm constantly worried about forgetting important points. My anxiety is through the roof.",Stress
